epoch,total_loss,g_loss,r_loss,l_loss,psy_loss,val_loss,lr
101,0.00030739,0.00017626,2.347e-05,1.2e-06,2.5e-07,nan,3.1622776601683795e-05
102,0.00030564,0.00018346,2.11e-05,9.9e-07,3.1e-07,nan,3.1622776601683795e-05
103,0.00032122,0.00019119,2.292e-05,9.7e-07,2.9e-07,nan,3.1622776601683795e-05
104,0.00025983,0.00016849,1.61e-05,9.3e-07,2e-07,nan,3.1622776601683795e-05
105,0.00028201,0.00017133,1.948e-05,9.3e-07,2.5e-07,0.00013275,3.1622776601683795e-05
106,0.00032338,0.00018663,2.44e-05,1.13e-06,2.7e-07,nan,3.1622776601683795e-05
107,0.00030401,0.00018319,2.079e-05,1.09e-06,3.2e-07,nan,3.1622776601683795e-05
108,0.00027867,0.00016994,1.887e-05,1.18e-06,2.6e-07,nan,3.1622776601683795e-05
109,0.00027748,0.00017664,1.694e-05,1.01e-06,3e-07,nan,3.1622776601683795e-05
110,0.00029897,0.00018574,1.999e-05,1.06e-06,2.4e-07,0.0001637,3.1622776601683795e-05
111,0.00028887,0.00016487,2.221e-05,9.4e-07,2.4e-07,nan,3.1622776601683795e-05
112,0.00030781,0.0001981,1.855e-05,1.13e-06,3.2e-07,nan,3.1622776601683795e-05
113,0.00031298,0.00017764,2.388e-05,9.6e-07,3e-07,nan,3.1622776601683795e-05
114,0.00028676,0.00017991,1.837e-05,1.01e-06,2.8e-07,nan,3.1622776601683795e-05
115,0.00030981,0.00018102,2.272e-05,1.2e-06,2.8e-07,0.00023054,3.1622776601683795e-05
116,0.00028349,0.00018188,1.762e-05,1e-06,2.5e-07,nan,3.1622776601683795e-05
117,0.00029474,0.0001841,1.841e-05,1.04e-06,3.5e-07,nan,3.1622776601683795e-05
118,0.00028507,0.00018355,1.776e-05,1.02e-06,2.3e-07,nan,3.1622776601683795e-05
119,0.00028037,0.00017821,1.758e-05,1e-06,2.7e-07,nan,3.1622776601683795e-05
120,0.00028961,0.00018517,1.787e-05,1.03e-06,2.8e-07,0.00029641,3.1622776601683795e-05
121,0.00026353,0.00017607,1.479e-05,1.03e-06,2.5e-07,nan,3.1622776601683795e-05
122,0.00027027,0.00017221,1.678e-05,1.04e-06,2.6e-07,nan,3.1622776601683795e-05
123,0.00029437,0.0001783,1.908e-05,1.16e-06,3.9e-07,nan,3.1622776601683795e-05
124,0.00028762,0.00018361,1.807e-05,1.01e-06,2.5e-07,nan,3.1622776601683795e-05
125,0.00027266,0.00017197,1.779e-05,1.02e-06,2.1e-07,0.00013515,3.1622776601683795e-05
126,0.00025747,0.00017024,1.513e-05,1.02e-06,2.1e-07,nan,3.1622776601683795e-05
127,0.00026812,0.00016271,1.877e-05,9.1e-07,2.1e-07,nan,3.1622776601683795e-05
128,0.00026461,0.00017187,1.618e-05,9.8e-07,2.2e-07,nan,3.1622776601683795e-05
129,0.0003287,0.00015859,3.127e-05,1.18e-06,2.5e-07,nan,3.1622776601683795e-05
130,0.00027368,0.00017601,1.676e-05,1e-06,2.6e-07,0.00013291,3.1622776601683795e-05
131,0.00028104,0.0001722,1.883e-05,9.8e-07,2.7e-07,nan,3.1622776601683795e-05
132,0.00027425,0.0001752,1.737e-05,1.04e-06,2.2e-07,nan,3.1622776601683795e-05
133,0.0002539,0.00016127,1.613e-05,1.13e-06,2.2e-07,nan,3.1622776601683795e-05
134,0.00023443,0.00015608,1.389e-05,8.7e-07,1.6e-07,nan,3.1622776601683795e-05
135,0.00026979,0.00017184,1.685e-05,1.01e-06,2.5e-07,0.0001425,3.1622776601683795e-05
136,0.00027096,0.00016985,1.792e-05,9.7e-07,2.1e-07,nan,3.1622776601683795e-05
137,0.00027112,0.00016433,1.866e-05,9.5e-07,2.5e-07,nan,3.1622776601683795e-05
138,0.00027596,0.00017682,1.73e-05,1.01e-06,2.3e-07,nan,3.1622776601683795e-05
139,0.00025243,0.00016308,1.589e-05,9.5e-07,1.8e-07,nan,3.1622776601683795e-05
140,0.0002825,0.00017986,1.78e-05,1.03e-06,2.5e-07,0.00014586,3.1622776601683795e-05
141,0.00023671,0.00015809,1.416e-05,1.03e-06,1.4e-07,nan,3.1622776601683795e-05
142,0.00023985,0.00015071,1.623e-05,8.1e-07,1.4e-07,nan,3.1622776601683795e-05
143,0.00028378,0.00017027,1.96e-05,9.7e-07,2.9e-07,nan,3.1622776601683795e-05
144,0.0002539,0.00016622,1.533e-05,1e-06,2e-07,nan,3.1622776601683795e-05
145,0.00025076,0.00016111,1.581e-05,9e-07,1.9e-07,0.00012098,3.1622776601683795e-05
146,0.00024532,0.00015867,1.557e-05,9.1e-07,1.6e-07,nan,3.1622776601683795e-05
147,0.00025919,0.00017081,1.526e-05,9.8e-07,2.2e-07,nan,3.1622776601683795e-05
148,0.00026893,0.00017293,1.653e-05,1e-06,2.5e-07,nan,3.1622776601683795e-05
149,0.00027445,0.0001722,1.804e-05,1.07e-06,2.2e-07,nan,3.1622776601683795e-05
150,0.00024693,0.00017155,1.318e-05,9.3e-07,1.7e-07,0.00014035,3.1622776601683795e-05
151,0.00025274,0.00016141,1.604e-05,1.01e-06,2e-07,nan,3.1622776601683795e-05
152,0.00027472,0.00015739,2.151e-05,9.8e-07,1.8e-07,nan,3.1622776601683795e-05
153,0.00028969,0.0001777,1.895e-05,1.07e-06,3.2e-07,nan,3.1622776601683795e-05
154,0.00026296,0.00017794,1.422e-05,1.09e-06,2.6e-07,nan,3.1622776601683795e-05
155,0.00027341,0.00017139,1.82e-05,1.05e-06,2e-07,0.00011566,3.1622776601683795e-05
156,0.00026877,0.00017055,1.696e-05,1.07e-06,2.5e-07,nan,3.1622776601683795e-05
157,0.00022793,0.00015702,1.263e-05,9e-07,1.4e-07,nan,3.1622776601683795e-05
158,0.00025505,0.00016008,1.693e-05,9e-07,1.9e-07,nan,3.1622776601683795e-05
159,0.00025021,0.00016831,1.437e-05,9.7e-07,1.8e-07,nan,3.1622776601683795e-05
160,0.00026679,0.00017452,1.645e-05,1.11e-06,1.8e-07,0.00013387,3.1622776601683795e-05
161,0.00024306,0.00016284,1.448e-05,9.4e-07,1.4e-07,nan,3.1622776601683795e-05
162,0.00025765,0.00016151,1.688e-05,1.01e-06,2.1e-07,nan,3.1622776601683795e-05
163,0.00022558,0.00015431,1.32e-05,8.3e-07,9e-08,nan,3.1622776601683795e-05
164,0.00026168,0.00015867,1.744e-05,1.03e-06,3e-07,nan,3.1622776601683795e-05
165,0.00023729,0.00016203,1.343e-05,8.9e-07,1.4e-07,0.00011914,3.1622776601683795e-05
166,0.00026624,0.00016406,1.789e-05,9e-07,2.4e-07,nan,3.1622776601683795e-05
167,0.00026021,0.00017194,1.563e-05,1e-06,1.8e-07,nan,3.1622776601683795e-05
168,0.00024533,0.00015802,1.546e-05,9.2e-07,1.8e-07,nan,3.1622776601683795e-05
169,0.00024976,0.00016405,1.513e-05,8.7e-07,1.8e-07,nan,3.1622776601683795e-05
170,0.00023094,0.00015522,1.361e-05,9.4e-07,1.3e-07,0.00012316,3.1622776601683795e-05
171,0.00025253,0.00016291,1.575e-05,1e-06,2e-07,nan,3.1622776601683795e-05
172,0.00026496,0.00016246,1.858e-05,1.1e-06,1.7e-07,nan,3.1622776601683795e-05
173,0.00023307,0.00015552,1.38e-05,9.4e-07,1.5e-07,nan,3.1622776601683795e-05
174,0.00025792,0.00016723,1.614e-05,1.03e-06,1.8e-07,nan,3.1622776601683795e-05
175,0.00023077,0.00015144,1.382e-05,9.3e-07,1.9e-07,0.00041551,3.1622776601683795e-05
176,0.00025174,0.0001598,1.629e-05,9.3e-07,1.9e-07,nan,3.1622776601683795e-05
177,0.00026314,0.00017006,1.626e-05,9.8e-07,2.2e-07,nan,3.1622776601683795e-05
178,0.00024618,0.00016465,1.444e-05,9.2e-07,1.7e-07,nan,3.1622776601683795e-05
179,0.00022716,0.00015468,1.299e-05,1.02e-06,1.3e-07,nan,3.1622776601683795e-05
180,0.00023735,0.00015458,1.482e-05,1.08e-06,1.5e-07,0.00014174,3.1622776601683795e-05
181,0.00025226,0.00016495,1.589e-05,9.3e-07,1.4e-07,nan,3.1622776601683795e-05
182,0.00025084,0.00015593,1.71e-05,9.2e-07,1.7e-07,nan,3.1622776601683795e-05
183,0.00023939,0.00016465,1.31e-05,9.4e-07,1.7e-07,nan,3.1622776601683795e-05
184,0.0002415,0.00015607,1.482e-05,8.8e-07,2.1e-07,nan,3.1622776601683795e-05
185,0.00023265,0.00015508,1.361e-05,1.04e-06,1.7e-07,0.00017301,3.1622776601683795e-05
186,0.00026379,0.00017537,1.572e-05,9.8e-07,1.8e-07,nan,3.1622776601683795e-05
187,0.00023288,0.00015426,1.426e-05,9.2e-07,1.3e-07,nan,3.1622776601683795e-05
188,0.0002248,0.00015201,1.311e-05,9.1e-07,1.3e-07,nan,3.1622776601683795e-05
189,0.00025392,0.00017259,1.445e-05,9.9e-07,1.6e-07,nan,3.1622776601683795e-05
190,0.00023228,0.00015714,1.358e-05,9.4e-07,1.3e-07,0.00012348,3.1622776601683795e-05
191,0.00024196,0.00016068,1.48e-05,9.1e-07,1.3e-07,nan,3.1622776601683795e-05
192,0.00026562,0.00016686,1.733e-05,1.09e-06,2.2e-07,nan,3.1622776601683795e-05
193,0.00026796,0.00016908,1.737e-05,9.7e-07,2.2e-07,nan,3.1622776601683795e-05
194,0.00025922,0.00017612,1.469e-05,1.06e-06,1.7e-07,nan,3.1622776601683795e-05
195,0.00024265,0.00015967,1.492e-05,1e-06,1.5e-07,0.00015466,3.1622776601683795e-05
196,0.00027769,0.00016686,1.896e-05,1.07e-06,3e-07,nan,3.1622776601683795e-05
197,0.00022757,0.00015761,1.259e-05,9.3e-07,1.2e-07,nan,3.1622776601683795e-05
198,0.00022872,0.0001576,1.309e-05,8.6e-07,1e-07,nan,3.1622776601683795e-05
199,0.00022885,0.00015067,1.413e-05,9.5e-07,1.3e-07,nan,3.1622776601683795e-05
200,0.00021572,0.00014605,1.253e-05,8.7e-07,1.2e-07,0.0001561,3.1622776601683795e-05
